ano,id_subsistema,nom_tipousina,val_geracao,val_vazaoafluente,val_vazaoturbinada,val_vazaovertida,val_vazaooutrasestruturas,val_vazaodefluente,val_vazaotransferida,val_vazaonatural,val_vazaoartificial,val_vazaoincremental,val_vazaoevaporacaoliquida,val_vazaousoconsuntivo
2000,N,HIDROELÉTRICA,27435336.95,7396060.43,2610565.82,3122248.85,0.0,7404885.95,0.0,11345651.09,75236.0,4753880.77546916,0.0,0.0
2000,NE,HIDROELÉTRICA,49928220.4,3409217.5,155909.0,606629.0,0.0,3434599.73,0.0,5778556.76,0.0,773767.66,0.0,0.0
2000,S,HIDROELÉTRICA,33881099.58,4234219.08,1702261.34,495100.38,0.0,4092254.05,0.0,4738564.19,343240.35,867075.67,0.0,0.0
2000,SE,HIDROELÉTRICA,224347171.98334,24511552.82,17823891.94,2122098.05,0.0,24172552.45,4152.78,40938711.42005538,11255833.79,5700897.95989256,0.0,0.0
2001,N,HIDROELÉTRICA,28171599.2,5353196.49,2456390.94,1757351.85,0.0,5434280.82,0.0,8343371.74,63954.0,3406414.27570328,40.5,58.9196
2001,NE,HIDROELÉTRICA,36840430.6,2697334.69,134736.0,127193.0,0.0,2794624.59,0.0,3138628.14,0.0,416404.73,41.454,0.0
2001,S,HIDROELÉTRICA,55140083.71,5517935.42,2765170.8,774066.68,0.0,5463176.75,0.0,5909842.338,459864.81,1012799.261,-18.821,100.357
2001,SE,HIDROELÉTRICA,172274525.03,18639624.36,14521405.68,870965.4,0.0,18609328.32,3248.6200000000003,36232555.66901015,9084775.27,4587274.05660426,621.049,2594.1169
2002,N,HIDROELÉTRICA,26032501.97,5834036.52,325370.56,2395690.48,0.0,6009304.58,0.0,8496701.15,43179.0,3830768.46045437,-238.05200000000002,5998.4779
2002,NE,HIDROELÉTRICA,41346497.0,2717859.9,142330.0,19242.0,0.0,2875094.82,0.0,4557802.76,0.0,596909.12,3285.705,0.0
2002,S,HIDROELÉTRICA,51268549.03,4927984.09,1007889.66,684020.85,0.0,4896383.05,33133.71,5399785.02,324684.83,1498567.581,4318.194,5062.8545
